㐀	⿱⿰↔⺊⺊一
㘏	⿱⿺辶⿱丷⿱一自⿰口匕
㘐	⿰口⿰馬⿱亠⿱八乂
㘑	⿰口⿰⿱士示⿻⿰冫⿰亅
㘒	⿱⿰禾⿳㇒車一⿰口匕
㘓	⿰口⿵門⿻木⿴囗丷
㘔	⿰口⿱⿳宀⿱⿻⿱一一⿰丨丨一八貝
㘕	⿰口⿱艹⿱⿰⿷匚⿳丨丨⿱𠂉丶皿
㘖	⿰口⿰⿸⿳亠丷厂彡頁
㘗	⿰口⿱⿰目目隹
㘘	⿱⿲糹言糸口
㘙	⿰口⿱吅⿸厂⿰⿱乛耳攵
㘚	⿰口⿵門⿰⿱乛耳攵
㘛	⿰口⿱合⿰⿱立⺝
㘜	⿱⿲隹言隹口
㘝	⿴囗又
㘞	⿴囗力
㘟	⿴囗廾
㘠	⿴囗⿻心㇒
㘡	⿴囗⿻日丨
㘢	⿴囗光
㘣	⿴囗⿱口⺝
㘤	⿴囗⿰氵⿻⿰片爿一
㘥	⿴囗⿰⿱爫缶⿱㇒糸
㘦	⿰土力
㘧	⿰土⿱⿱乛丶⿱乛亅
㘨	⿰土⿻冂人
㘩	⿰土比
㘪	⿰土毛
㘫	⿰土⿻二⿰丿丨
㘬	⿰土⿹勹厶
㘭	⿰土⿰幺𠃌
㘮	⿰土⿸尸㇏
㘯	⿰土⿱𠂉力
㘰	⿰土⿻十⺀
㘱	⿰土⿻冂土
㘲	⿰土⿸尸九
㘳	⿱⿰匕土
㘴	⿻⿰口人土
㘵	⿰土⿸⿻一丿巾
㘶	⿱⿰夕⿻⿱一𠃋丨土
㘷	⿰土⿱艹乂
㘸	⿱⿸歹匕土
㘹	⿱⿰止匕土
㘺	⿰土⿰亻戈
㘻	⿰土⿴囗大
㘼	⿰土⿱⿻土㇒⿱一㇉
㘽	⿹⿻戈十土
㘾	⿰土⿱宀⿱一⿻一亅
㘿	⿰土⿱日土
㙀	⿰土⿱穴九
㙁	⿰土⿱𠂉母
㙂	⿰土⿱丷⿱口儿
㙃	⿰土⿱⿱㇒⿺⿱丨一⿱一丨八
㙄	⿰土⿱比土
㙅	⿰土⿱口木
㙆	⿰土⿱宀⿸⿻一丿厶
㙇	⿰土⿻豕丶
㙈	⿰土虎
㙉	⿰土⿱⿻⿴⿱冂一一⿰丨丨八
㙊	⿰土⿱
㙋	⿰土⿱八
㙌	⿰土⿻⿻丨⿲丿八丨
㙍	⿰土⿱⿰又又⿰又又
㙎	⿰土⿵⿵⿰丿戈一女
㙏	⿰土⿱⿱𠂉日夊
㙐	⿰土⿱山⿱一⿱㇒⿵冂⿰丨丨
㙑	⿱⿻⿱㇒虫冂土
㙒	⿱⿰田⿱⿱乛丶⿱乛亅土
㙓	⿱⿱土⿰土土土
㙔	⿰土韋
㙕	⿰土⿱田⺝
㙖	⿰土⿻⿱㇒虫冂
㙗	⿰土⿳田一
㙘	⿰土⿱⿱一⿻口⿰丨丨女
㙙	⿱⿰氵⿻⿸⿺⿻一丿丶⿻乚㇒⿱㇒㇒土
㙚	⿰土⿱⿱䒑土牛
㙛	⿰土⿱⿺⿻十⺝丶寸
